diagnosis_id,icd10_code,icd10_description,category,severity_level
518,J45.909.518,"Unspecified asthma, uncomplicated (Variant #518)",Respiratory,Moderate
519,E78.5.519,"Hyperlipidemia, unspecified (Variant #519)",Endocrine,Mild
520,K21.9.520,Gastro-esophageal reflux disease without esophagitis (Variant #520),Gastrointestinal,Mild
521,C34.90.521,Malignant neoplasm of unspecified part of bronchus or lung (Variant #521),Oncology,Critical
522,K21.9.522,Gastro-esophageal reflux disease without esophagitis (Variant #522),Gastrointestinal,Mild
523,R07.9.523,"Chest pain, unspecified (Variant #523)",Cardiovascular,Severe
524,G40.909.524,"Epilepsy, unspecified, not intractable (Variant #524)",Neurology,Severe
525,E11.9.525,Type 2 diabetes mellitus without complications (Variant #525),Endocrine,Moderate
526,E78.5.526,"Hyperlipidemia, unspecified (Variant #526)",Endocrine,Mild
527,I25.10.527,Atherosclerotic heart disease of native coronary artery (Variant #527),Cardiovascular,Severe
528,I10.528,Essential (primary) hypertension (Variant #528),Cardiovascular,Mild
529,C34.90.529,Malignant neoplasm of unspecified part of bronchus or lung (Variant #529),Oncology,Critical
530,F41.1.530,Generalized anxiety disorder (Variant #530),Mental Health,Moderate
531,K21.9.531,Gastro-esophageal reflux disease without esophagitis (Variant #531),Gastrointestinal,Mild
532,I10.532,Essential (primary) hypertension (Variant #532),Cardiovascular,Mild
533,E11.9.533,Type 2 diabetes mellitus without complications (Variant #533),Endocrine,Moderate
534,E11.9.534,Type 2 diabetes mellitus without complications (Variant #534),Endocrine,Moderate
535,M54.5.535,"Low back pain, unspecified (Variant #535)",Musculoskeletal,Mild
536,N39.0.536,"Urinary tract infection, site not specified (Variant #536)",Urological,Moderate
537,M17.11.537,"Unspecified primary osteoarthritis, right knee (Variant #537)",Musculoskeletal,Moderate
538,C34.90.538,Malignant neoplasm of unspecified part of bronchus or lung (Variant #538),Oncology,Critical
539,K21.9.539,Gastro-esophageal reflux disease without esophagitis (Variant #539),Gastrointestinal,Mild
540,I25.10.540,Atherosclerotic heart disease of native coronary artery (Variant #540),Cardiovascular,Severe
541,I25.10.541,Atherosclerotic heart disease of native coronary artery (Variant #541),Cardiovascular,Severe
542,R07.9.542,"Chest pain, unspecified (Variant #542)",Cardiovascular,Severe
543,J45.909.543,"Unspecified asthma, uncomplicated (Variant #543)",Respiratory,Moderate
544,E11.9.544,Type 2 diabetes mellitus without complications (Variant #544),Endocrine,Moderate
545,I10.545,Essential (primary) hypertension (Variant #545),Cardiovascular,Mild
546,E11.9.546,Type 2 diabetes mellitus without complications (Variant #546),Endocrine,Moderate
547,E11.9.547,Type 2 diabetes mellitus without complications (Variant #547),Endocrine,Moderate
548,F41.1.548,Generalized anxiety disorder (Variant #548),Mental Health,Moderate
549,I10.549,Essential (primary) hypertension (Variant #549),Cardiovascular,Mild
550,F41.1.550,Generalized anxiety disorder (Variant #550),Mental Health,Moderate
551,J18.9.551,"Pneumonia, unspecified organism (Variant #551)",Respiratory,Severe
552,E11.9.552,Type 2 diabetes mellitus without complications (Variant #552),Endocrine,Moderate
553,I25.10.553,Atherosclerotic heart disease of native coronary artery (Variant #553),Cardiovascular,Severe
554,I10.554,Essential (primary) hypertension (Variant #554),Cardiovascular,Mild
555,J18.9.555,"Pneumonia, unspecified organism (Variant #555)",Respiratory,Severe
556,M17.11.556,"Unspecified primary osteoarthritis, right knee (Variant #556)",Musculoskeletal,Moderate
557,I10.557,Essential (primary) hypertension (Variant #557),Cardiovascular,Mild
558,R07.9.558,"Chest pain, unspecified (Variant #558)",Cardiovascular,Severe
559,I10.559,Essential (primary) hypertension (Variant #559),Cardiovascular,Mild
560,C34.90.560,Malignant neoplasm of unspecified part of bronchus or lung (Variant #560),Oncology,Critical
561,I25.10.561,Atherosclerotic heart disease of native coronary artery (Variant #561),Cardiovascular,Severe
562,K21.9.562,Gastro-esophageal reflux disease without esophagitis (Variant #562),Gastrointestinal,Mild
563,I10.563,Essential (primary) hypertension (Variant #563),Cardiovascular,Mild
564,F41.1.564,Generalized anxiety disorder (Variant #564),Mental Health,Moderate
565,J45.909.565,"Unspecified asthma, uncomplicated (Variant #565)",Respiratory,Moderate
566,C34.90.566,Malignant neoplasm of unspecified part of bronchus or lung (Variant #566),Oncology,Critical
567,E78.5.567,"Hyperlipidemia, unspecified (Variant #567)",Endocrine,Mild
568,G40.909.568,"Epilepsy, unspecified, not intractable (Variant #568)",Neurology,Severe
569,M17.11.569,"Unspecified primary osteoarthritis, right knee (Variant #569)",Musculoskeletal,Moderate
570,E78.5.570,"Hyperlipidemia, unspecified (Variant #570)",Endocrine,Mild
571,I25.10.571,Atherosclerotic heart disease of native coronary artery (Variant #571),Cardiovascular,Severe
572,N39.0.572,"Urinary tract infection, site not specified (Variant #572)",Urological,Moderate
573,F41.1.573,Generalized anxiety disorder (Variant #573),Mental Health,Moderate
574,I10.574,Essential (primary) hypertension (Variant #574),Cardiovascular,Mild
575,E78.5.575,"Hyperlipidemia, unspecified (Variant #575)",Endocrine,Mild
576,J06.9.576,"Acute upper respiratory infection, unspecified (Variant #576)",Respiratory,Mild
577,M17.11.577,"Unspecified primary osteoarthritis, right knee (Variant #577)",Musculoskeletal,Moderate
578,J06.9.578,"Acute upper respiratory infection, unspecified (Variant #578)",Respiratory,Mild
579,K21.9.579,Gastro-esophageal reflux disease without esophagitis (Variant #579),Gastrointestinal,Mild
580,M54.5.580,"Low back pain, unspecified (Variant #580)",Musculoskeletal,Mild
581,I25.10.581,Atherosclerotic heart disease of native coronary artery (Variant #581),Cardiovascular,Severe
582,F41.1.582,Generalized anxiety disorder (Variant #582),Mental Health,Moderate
583,E78.5.583,"Hyperlipidemia, unspecified (Variant #583)",Endocrine,Mild
584,J06.9.584,"Acute upper respiratory infection, unspecified (Variant #584)",Respiratory,Mild
585,C34.90.585,Malignant neoplasm of unspecified part of bronchus or lung (Variant #585),Oncology,Critical
586,E78.5.586,"Hyperlipidemia, unspecified (Variant #586)",Endocrine,Mild
587,F41.1.587,Generalized anxiety disorder (Variant #587),Mental Health,Moderate
588,J18.9.588,"Pneumonia, unspecified organism (Variant #588)",Respiratory,Severe
589,J45.909.589,"Unspecified asthma, uncomplicated (Variant #589)",Respiratory,Moderate
590,J06.9.590,"Acute upper respiratory infection, unspecified (Variant #590)",Respiratory,Mild
591,J45.909.591,"Unspecified asthma, uncomplicated (Variant #591)",Respiratory,Moderate
592,F41.1.592,Generalized anxiety disorder (Variant #592),Mental Health,Moderate
593,E78.5.593,"Hyperlipidemia, unspecified (Variant #593)",Endocrine,Mild
594,J06.9.594,"Acute upper respiratory infection, unspecified (Variant #594)",Respiratory,Mild
595,J18.9.595,"Pneumonia, unspecified organism (Variant #595)",Respiratory,Severe
596,I25.10.596,Atherosclerotic heart disease of native coronary artery (Variant #596),Cardiovascular,Severe
597,M17.11.597,"Unspecified primary osteoarthritis, right knee (Variant #597)",Musculoskeletal,Moderate
598,M17.11.598,"Unspecified primary osteoarthritis, right knee (Variant #598)",Musculoskeletal,Moderate
599,M54.5.599,"Low back pain, unspecified (Variant #599)",Musculoskeletal,Mild
600,I25.10.600,Atherosclerotic heart disease of native coronary artery (Variant #600),Cardiovascular,Severe
601,N39.0.601,"Urinary tract infection, site not specified (Variant #601)",Urological,Moderate
602,C34.90.602,Malignant neoplasm of unspecified part of bronchus or lung (Variant #602),Oncology,Critical
603,J06.9.603,"Acute upper respiratory infection, unspecified (Variant #603)",Respiratory,Mild
604,G40.909.604,"Epilepsy, unspecified, not intractable (Variant #604)",Neurology,Severe
605,J06.9.605,"Acute upper respiratory infection, unspecified (Variant #605)",Respiratory,Mild
606,E11.9.606,Type 2 diabetes mellitus without complications (Variant #606),Endocrine,Moderate
607,C34.90.607,Malignant neoplasm of unspecified part of bronchus or lung (Variant #607),Oncology,Critical
608,K21.9.608,Gastro-esophageal reflux disease without esophagitis (Variant #608),Gastrointestinal,Mild
609,J06.9.609,"Acute upper respiratory infection, unspecified (Variant #609)",Respiratory,Mild
610,K21.9.610,Gastro-esophageal reflux disease without esophagitis (Variant #610),Gastrointestinal,Mild
611,F41.1.611,Generalized anxiety disorder (Variant #611),Mental Health,Moderate
612,J06.9.612,"Acute upper respiratory infection, unspecified (Variant #612)",Respiratory,Mild
613,J45.909.613,"Unspecified asthma, uncomplicated (Variant #613)",Respiratory,Moderate
614,C34.90.614,Malignant neoplasm of unspecified part of bronchus or lung (Variant #614),Oncology,Critical
615,J18.9.615,"Pneumonia, unspecified organism (Variant #615)",Respiratory,Severe
616,I10.616,Essential (primary) hypertension (Variant #616),Cardiovascular,Mild
617,I25.10.617,Atherosclerotic heart disease of native coronary artery (Variant #617),Cardiovascular,Severe
618,M54.5.618,"Low back pain, unspecified (Variant #618)",Musculoskeletal,Mild
619,J06.9.619,"Acute upper respiratory infection, unspecified (Variant #619)",Respiratory,Mild
620,N39.0.620,"Urinary tract infection, site not specified (Variant #620)",Urological,Moderate
621,M54.5.621,"Low back pain, unspecified (Variant #621)",Musculoskeletal,Mild
622,F41.1.622,Generalized anxiety disorder (Variant #622),Mental Health,Moderate
623,J06.9.623,"Acute upper respiratory infection, unspecified (Variant #623)",Respiratory,Mild
624,E11.9.624,Type 2 diabetes mellitus without complications (Variant #624),Endocrine,Moderate
625,N39.0.625,"Urinary tract infection, site not specified (Variant #625)",Urological,Moderate
626,E11.9.626,Type 2 diabetes mellitus without complications (Variant #626),Endocrine,Moderate
627,G40.909.627,"Epilepsy, unspecified, not intractable (Variant #627)",Neurology,Severe
628,J45.909.628,"Unspecified asthma, uncomplicated (Variant #628)",Respiratory,Moderate
629,K21.9.629,Gastro-esophageal reflux disease without esophagitis (Variant #629),Gastrointestinal,Mild
630,N39.0.630,"Urinary tract infection, site not specified (Variant #630)",Urological,Moderate
631,C34.90.631,Malignant neoplasm of unspecified part of bronchus or lung (Variant #631),Oncology,Critical
632,F41.1.632,Generalized anxiety disorder (Variant #632),Mental Health,Moderate
633,I10.633,Essential (primary) hypertension (Variant #633),Cardiovascular,Mild
634,J45.909.634,"Unspecified asthma, uncomplicated (Variant #634)",Respiratory,Moderate
635,M17.11.635,"Unspecified primary osteoarthritis, right knee (Variant #635)",Musculoskeletal,Moderate
636,G40.909.636,"Epilepsy, unspecified, not intractable (Variant #636)",Neurology,Severe
637,I25.10.637,Atherosclerotic heart disease of native coronary artery (Variant #637),Cardiovascular,Severe
638,C34.90.638,Malignant neoplasm of unspecified part of bronchus or lung (Variant #638),Oncology,Critical
639,J06.9.639,"Acute upper respiratory infection, unspecified (Variant #639)",Respiratory,Mild
640,M54.5.640,"Low back pain, unspecified (Variant #640)",Musculoskeletal,Mild
641,J06.9.641,"Acute upper respiratory infection, unspecified (Variant #641)",Respiratory,Mild
642,M54.5.642,"Low back pain, unspecified (Variant #642)",Musculoskeletal,Mild
643,I10.643,Essential (primary) hypertension (Variant #643),Cardiovascular,Mild
644,J18.9.644,"Pneumonia, unspecified organism (Variant #644)",Respiratory,Severe
645,K21.9.645,Gastro-esophageal reflux disease without esophagitis (Variant #645),Gastrointestinal,Mild
646,K21.9.646,Gastro-esophageal reflux disease without esophagitis (Variant #646),Gastrointestinal,Mild
647,J45.909.647,"Unspecified asthma, uncomplicated (Variant #647)",Respiratory,Moderate
648,J18.9.648,"Pneumonia, unspecified organism (Variant #648)",Respiratory,Severe
649,E11.9.649,Type 2 diabetes mellitus without complications (Variant #649),Endocrine,Moderate
650,R07.9.650,"Chest pain, unspecified (Variant #650)",Cardiovascular,Severe
651,K21.9.651,Gastro-esophageal reflux disease without esophagitis (Variant #651),Gastrointestinal,Mild
652,K21.9.652,Gastro-esophageal reflux disease without esophagitis (Variant #652),Gastrointestinal,Mild
653,F41.1.653,Generalized anxiety disorder (Variant #653),Mental Health,Moderate
654,E11.9.654,Type 2 diabetes mellitus without complications (Variant #654),Endocrine,Moderate
655,J06.9.655,"Acute upper respiratory infection, unspecified (Variant #655)",Respiratory,Mild
656,F41.1.656,Generalized anxiety disorder (Variant #656),Mental Health,Moderate
657,I10.657,Essential (primary) hypertension (Variant #657),Cardiovascular,Mild
658,N39.0.658,"Urinary tract infection, site not specified (Variant #658)",Urological,Moderate
659,J06.9.659,"Acute upper respiratory infection, unspecified (Variant #659)",Respiratory,Mild
660,J18.9.660,"Pneumonia, unspecified organism (Variant #660)",Respiratory,Severe
661,J18.9.661,"Pneumonia, unspecified organism (Variant #661)",Respiratory,Severe
662,N39.0.662,"Urinary tract infection, site not specified (Variant #662)",Urological,Moderate
663,R07.9.663,"Chest pain, unspecified (Variant #663)",Cardiovascular,Severe
664,G40.909.664,"Epilepsy, unspecified, not intractable (Variant #664)",Neurology,Severe
665,F41.1.665,Generalized anxiety disorder (Variant #665),Mental Health,Moderate
666,E78.5.666,"Hyperlipidemia, unspecified (Variant #666)",Endocrine,Mild
667,E11.9.667,Type 2 diabetes mellitus without complications (Variant #667),Endocrine,Moderate
668,J06.9.668,"Acute upper respiratory infection, unspecified (Variant #668)",Respiratory,Mild
669,I10.669,Essential (primary) hypertension (Variant #669),Cardiovascular,Mild
670,J45.909.670,"Unspecified asthma, uncomplicated (Variant #670)",Respiratory,Moderate
671,F41.1.671,Generalized anxiety disorder (Variant #671),Mental Health,Moderate
672,I10.672,Essential (primary) hypertension (Variant #672),Cardiovascular,Mild
673,J06.9.673,"Acute upper respiratory infection, unspecified (Variant #673)",Respiratory,Mild
674,J18.9.674,"Pneumonia, unspecified organism (Variant #674)",Respiratory,Severe
675,M54.5.675,"Low back pain, unspecified (Variant #675)",Musculoskeletal,Mild
676,G40.909.676,"Epilepsy, unspecified, not intractable (Variant #676)",Neurology,Severe
677,J06.9.677,"Acute upper respiratory infection, unspecified (Variant #677)",Respiratory,Mild
678,N39.0.678,"Urinary tract infection, site not specified (Variant #678)",Urological,Moderate
679,J06.9.679,"Acute upper respiratory infection, unspecified (Variant #679)",Respiratory,Mild
680,R07.9.680,"Chest pain, unspecified (Variant #680)",Cardiovascular,Severe
681,N39.0.681,"Urinary tract infection, site not specified (Variant #681)",Urological,Moderate
682,J18.9.682,"Pneumonia, unspecified organism (Variant #682)",Respiratory,Severe
683,R07.9.683,"Chest pain, unspecified (Variant #683)",Cardiovascular,Severe
684,C34.90.684,Malignant neoplasm of unspecified part of bronchus or lung (Variant #684),Oncology,Critical
685,N39.0.685,"Urinary tract infection, site not specified (Variant #685)",Urological,Moderate
686,G40.909.686,"Epilepsy, unspecified, not intractable (Variant #686)",Neurology,Severe
687,E78.5.687,"Hyperlipidemia, unspecified (Variant #687)",Endocrine,Mild
688,J45.909.688,"Unspecified asthma, uncomplicated (Variant #688)",Respiratory,Moderate
689,M54.5.689,"Low back pain, unspecified (Variant #689)",Musculoskeletal,Mild
690,J45.909.690,"Unspecified asthma, uncomplicated (Variant #690)",Respiratory,Moderate
691,J18.9.691,"Pneumonia, unspecified organism (Variant #691)",Respiratory,Severe
692,M54.5.692,"Low back pain, unspecified (Variant #692)",Musculoskeletal,Mild
693,J06.9.693,"Acute upper respiratory infection, unspecified (Variant #693)",Respiratory,Mild
694,C34.90.694,Malignant neoplasm of unspecified part of bronchus or lung (Variant #694),Oncology,Critical
695,N39.0.695,"Urinary tract infection, site not specified (Variant #695)",Urological,Moderate
696,J06.9.696,"Acute upper respiratory infection, unspecified (Variant #696)",Respiratory,Mild
697,K21.9.697,Gastro-esophageal reflux disease without esophagitis (Variant #697),Gastrointestinal,Mild
698,J18.9.698,"Pneumonia, unspecified organism (Variant #698)",Respiratory,Severe
699,F41.1.699,Generalized anxiety disorder (Variant #699),Mental Health,Moderate
700,R07.9.700,"Chest pain, unspecified (Variant #700)",Cardiovascular,Severe
701,N39.0.701,"Urinary tract infection, site not specified (Variant #701)",Urological,Moderate
702,I25.10.702,Atherosclerotic heart disease of native coronary artery (Variant #702),Cardiovascular,Severe
703,K21.9.703,Gastro-esophageal reflux disease without esophagitis (Variant #703),Gastrointestinal,Mild
704,M17.11.704,"Unspecified primary osteoarthritis, right knee (Variant #704)",Musculoskeletal,Moderate
705,K21.9.705,Gastro-esophageal reflux disease without esophagitis (Variant #705),Gastrointestinal,Mild
706,I10.706,Essential (primary) hypertension (Variant #706),Cardiovascular,Mild
707,E78.5.707,"Hyperlipidemia, unspecified (Variant #707)",Endocrine,Mild
708,J06.9.708,"Acute upper respiratory infection, unspecified (Variant #708)",Respiratory,Mild
709,M54.5.709,"Low back pain, unspecified (Variant #709)",Musculoskeletal,Mild
710,F41.1.710,Generalized anxiety disorder (Variant #710),Mental Health,Moderate
711,M17.11.711,"Unspecified primary osteoarthritis, right knee (Variant #711)",Musculoskeletal,Moderate
712,E78.5.712,"Hyperlipidemia, unspecified (Variant #712)",Endocrine,Mild
713,I10.713,Essential (primary) hypertension (Variant #713),Cardiovascular,Mild
714,J06.9.714,"Acute upper respiratory infection, unspecified (Variant #714)",Respiratory,Mild
715,J45.909.715,"Unspecified asthma, uncomplicated (Variant #715)",Respiratory,Moderate
716,I25.10.716,Atherosclerotic heart disease of native coronary artery (Variant #716),Cardiovascular,Severe
717,I25.10.717,Atherosclerotic heart disease of native coronary artery (Variant #717),Cardiovascular,Severe
718,M17.11.718,"Unspecified primary osteoarthritis, right knee (Variant #718)",Musculoskeletal,Moderate
719,M17.11.719,"Unspecified primary osteoarthritis, right knee (Variant #719)",Musculoskeletal,Moderate
720,I25.10.720,Atherosclerotic heart disease of native coronary artery (Variant #720),Cardiovascular,Severe
721,I25.10.721,Atherosclerotic heart disease of native coronary artery (Variant #721),Cardiovascular,Severe
722,E11.9.722,Type 2 diabetes mellitus without complications (Variant #722),Endocrine,Moderate
723,K21.9.723,Gastro-esophageal reflux disease without esophagitis (Variant #723),Gastrointestinal,Mild
724,I25.10.724,Atherosclerotic heart disease of native coronary artery (Variant #724),Cardiovascular,Severe
725,J06.9.725,"Acute upper respiratory infection, unspecified (Variant #725)",Respiratory,Mild
726,I25.10.726,Atherosclerotic heart disease of native coronary artery (Variant #726),Cardiovascular,Severe
727,M17.11.727,"Unspecified primary osteoarthritis, right knee (Variant #727)",Musculoskeletal,Moderate
728,N39.0.728,"Urinary tract infection, site not specified (Variant #728)",Urological,Moderate
729,N39.0.729,"Urinary tract infection, site not specified (Variant #729)",Urological,Moderate
730,J18.9.730,"Pneumonia, unspecified organism (Variant #730)",Respiratory,Severe
731,G40.909.731,"Epilepsy, unspecified, not intractable (Variant #731)",Neurology,Severe
732,F41.1.732,Generalized anxiety disorder (Variant #732),Mental Health,Moderate
733,N39.0.733,"Urinary tract infection, site not specified (Variant #733)",Urological,Moderate
734,M17.11.734,"Unspecified primary osteoarthritis, right knee (Variant #734)",Musculoskeletal,Moderate
735,K21.9.735,Gastro-esophageal reflux disease without esophagitis (Variant #735),Gastrointestinal,Mild
736,N39.0.736,"Urinary tract infection, site not specified (Variant #736)",Urological,Moderate
737,E11.9.737,Type 2 diabetes mellitus without complications (Variant #737),Endocrine,Moderate
738,C34.90.738,Malignant neoplasm of unspecified part of bronchus or lung (Variant #738),Oncology,Critical
739,I10.739,Essential (primary) hypertension (Variant #739),Cardiovascular,Mild
740,R07.9.740,"Chest pain, unspecified (Variant #740)",Cardiovascular,Severe
741,E78.5.741,"Hyperlipidemia, unspecified (Variant #741)",Endocrine,Mild
742,G40.909.742,"Epilepsy, unspecified, not intractable (Variant #742)",Neurology,Severe
743,C34.90.743,Malignant neoplasm of unspecified part of bronchus or lung (Variant #743),Oncology,Critical
744,J45.909.744,"Unspecified asthma, uncomplicated (Variant #744)",Respiratory,Moderate
745,M54.5.745,"Low back pain, unspecified (Variant #745)",Musculoskeletal,Mild
746,N39.0.746,"Urinary tract infection, site not specified (Variant #746)",Urological,Moderate
747,J18.9.747,"Pneumonia, unspecified organism (Variant #747)",Respiratory,Severe
748,C34.90.748,Malignant neoplasm of unspecified part of bronchus or lung (Variant #748),Oncology,Critical
749,E78.5.749,"Hyperlipidemia, unspecified (Variant #749)",Endocrine,Mild
750,M54.5.750,"Low back pain, unspecified (Variant #750)",Musculoskeletal,Mild
751,J06.9.751,"Acute upper respiratory infection, unspecified (Variant #751)",Respiratory,Mild
752,M17.11.752,"Unspecified primary osteoarthritis, right knee (Variant #752)",Musculoskeletal,Moderate
753,E78.5.753,"Hyperlipidemia, unspecified (Variant #753)",Endocrine,Mild
754,K21.9.754,Gastro-esophageal reflux disease without esophagitis (Variant #754),Gastrointestinal,Mild
755,I25.10.755,Atherosclerotic heart disease of native coronary artery (Variant #755),Cardiovascular,Severe
756,I10.756,Essential (primary) hypertension (Variant #756),Cardiovascular,Mild
757,J45.909.757,"Unspecified asthma, uncomplicated (Variant #757)",Respiratory,Moderate
758,J06.9.758,"Acute upper respiratory infection, unspecified (Variant #758)",Respiratory,Mild
759,J45.909.759,"Unspecified asthma, uncomplicated (Variant #759)",Respiratory,Moderate
760,E11.9.760,Type 2 diabetes mellitus without complications (Variant #760),Endocrine,Moderate
761,M17.11.761,"Unspecified primary osteoarthritis, right knee (Variant #761)",Musculoskeletal,Moderate
762,E11.9.762,Type 2 diabetes mellitus without complications (Variant #762),Endocrine,Moderate
763,E11.9.763,Type 2 diabetes mellitus without complications (Variant #763),Endocrine,Moderate
764,I25.10.764,Atherosclerotic heart disease of native coronary artery (Variant #764),Cardiovascular,Severe
765,J06.9.765,"Acute upper respiratory infection, unspecified (Variant #765)",Respiratory,Mild
766,J45.909.766,"Unspecified asthma, uncomplicated (Variant #766)",Respiratory,Moderate
767,N39.0.767,"Urinary tract infection, site not specified (Variant #767)",Urological,Moderate
768,N39.0.768,"Urinary tract infection, site not specified (Variant #768)",Urological,Moderate
769,N39.0.769,"Urinary tract infection, site not specified (Variant #769)",Urological,Moderate
770,M17.11.770,"Unspecified primary osteoarthritis, right knee (Variant #770)",Musculoskeletal,Moderate
771,I10.771,Essential (primary) hypertension (Variant #771),Cardiovascular,Mild
772,M17.11.772,"Unspecified primary osteoarthritis, right knee (Variant #772)",Musculoskeletal,Moderate
773,E78.5.773,"Hyperlipidemia, unspecified (Variant #773)",Endocrine,Mild
774,J06.9.774,"Acute upper respiratory infection, unspecified (Variant #774)",Respiratory,Mild
775,K21.9.775,Gastro-esophageal reflux disease without esophagitis (Variant #775),Gastrointestinal,Mild
776,F41.1.776,Generalized anxiety disorder (Variant #776),Mental Health,Moderate
777,C34.90.777,Malignant neoplasm of unspecified part of bronchus or lung (Variant #777),Oncology,Critical
778,J06.9.778,"Acute upper respiratory infection, unspecified (Variant #778)",Respiratory,Mild
779,F41.1.779,Generalized anxiety disorder (Variant #779),Mental Health,Moderate
780,C34.90.780,Malignant neoplasm of unspecified part of bronchus or lung (Variant #780),Oncology,Critical
781,E78.5.781,"Hyperlipidemia, unspecified (Variant #781)",Endocrine,Mild
782,J06.9.782,"Acute upper respiratory infection, unspecified (Variant #782)",Respiratory,Mild
783,E78.5.783,"Hyperlipidemia, unspecified (Variant #783)",Endocrine,Mild
784,I25.10.784,Atherosclerotic heart disease of native coronary artery (Variant #784),Cardiovascular,Severe
785,K21.9.785,Gastro-esophageal reflux disease without esophagitis (Variant #785),Gastrointestinal,Mild
786,J45.909.786,"Unspecified asthma, uncomplicated (Variant #786)",Respiratory,Moderate
787,E78.5.787,"Hyperlipidemia, unspecified (Variant #787)",Endocrine,Mild
788,K21.9.788,Gastro-esophageal reflux disease without esophagitis (Variant #788),Gastrointestinal,Mild
789,K21.9.789,Gastro-esophageal reflux disease without esophagitis (Variant #789),Gastrointestinal,Mild
790,R07.9.790,"Chest pain, unspecified (Variant #790)",Cardiovascular,Severe
791,I10.791,Essential (primary) hypertension (Variant #791),Cardiovascular,Mild
792,J06.9.792,"Acute upper respiratory infection, unspecified (Variant #792)",Respiratory,Mild
793,E11.9.793,Type 2 diabetes mellitus without complications (Variant #793),Endocrine,Moderate
794,C34.90.794,Malignant neoplasm of unspecified part of bronchus or lung (Variant #794),Oncology,Critical
795,I10.795,Essential (primary) hypertension (Variant #795),Cardiovascular,Mild
796,M17.11.796,"Unspecified primary osteoarthritis, right knee (Variant #796)",Musculoskeletal,Moderate
797,M17.11.797,"Unspecified primary osteoarthritis, right knee (Variant #797)",Musculoskeletal,Moderate
798,E11.9.798,Type 2 diabetes mellitus without complications (Variant #798),Endocrine,Moderate
799,I25.10.799,Atherosclerotic heart disease of native coronary artery (Variant #799),Cardiovascular,Severe
800,K21.9.800,Gastro-esophageal reflux disease without esophagitis (Variant #800),Gastrointestinal,Mild
801,I10.801,Essential (primary) hypertension (Variant #801),Cardiovascular,Mild
802,N39.0.802,"Urinary tract infection, site not specified (Variant #802)",Urological,Moderate
803,E11.9.803,Type 2 diabetes mellitus without complications (Variant #803),Endocrine,Moderate
804,E78.5.804,"Hyperlipidemia, unspecified (Variant #804)",Endocrine,Mild
805,M17.11.805,"Unspecified primary osteoarthritis, right knee (Variant #805)",Musculoskeletal,Moderate
806,F41.1.806,Generalized anxiety disorder (Variant #806),Mental Health,Moderate
807,R07.9.807,"Chest pain, unspecified (Variant #807)",Cardiovascular,Severe
808,J45.909.808,"Unspecified asthma, uncomplicated (Variant #808)",Respiratory,Moderate
809,I10.809,Essential (primary) hypertension (Variant #809),Cardiovascular,Mild
810,E78.5.810,"Hyperlipidemia, unspecified (Variant #810)",Endocrine,Mild
811,C34.90.811,Malignant neoplasm of unspecified part of bronchus or lung (Variant #811),Oncology,Critical
812,N39.0.812,"Urinary tract infection, site not specified (Variant #812)",Urological,Moderate
813,J45.909.813,"Unspecified asthma, uncomplicated (Variant #813)",Respiratory,Moderate
814,I25.10.814,Atherosclerotic heart disease of native coronary artery (Variant #814),Cardiovascular,Severe
815,J18.9.815,"Pneumonia, unspecified organism (Variant #815)",Respiratory,Severe
816,K21.9.816,Gastro-esophageal reflux disease without esophagitis (Variant #816),Gastrointestinal,Mild
817,J06.9.817,"Acute upper respiratory infection, unspecified (Variant #817)",Respiratory,Mild
818,J06.9.818,"Acute upper respiratory infection, unspecified (Variant #818)",Respiratory,Mild
819,J18.9.819,"Pneumonia, unspecified organism (Variant #819)",Respiratory,Severe
820,I25.10.820,Atherosclerotic heart disease of native coronary artery (Variant #820),Cardiovascular,Severe
821,J45.909.821,"Unspecified asthma, uncomplicated (Variant #821)",Respiratory,Moderate
822,I25.10.822,Atherosclerotic heart disease of native coronary artery (Variant #822),Cardiovascular,Severe
823,M54.5.823,"Low back pain, unspecified (Variant #823)",Musculoskeletal,Mild
824,J18.9.824,"Pneumonia, unspecified organism (Variant #824)",Respiratory,Severe
825,N39.0.825,"Urinary tract infection, site not specified (Variant #825)",Urological,Moderate
826,E11.9.826,Type 2 diabetes mellitus without complications (Variant #826),Endocrine,Moderate
827,K21.9.827,Gastro-esophageal reflux disease without esophagitis (Variant #827),Gastrointestinal,Mild
828,I25.10.828,Atherosclerotic heart disease of native coronary artery (Variant #828),Cardiovascular,Severe
829,J18.9.829,"Pneumonia, unspecified organism (Variant #829)",Respiratory,Severe
830,R07.9.830,"Chest pain, unspecified (Variant #830)",Cardiovascular,Severe
831,F41.1.831,Generalized anxiety disorder (Variant #831),Mental Health,Moderate
832,J45.909.832,"Unspecified asthma, uncomplicated (Variant #832)",Respiratory,Moderate
833,J45.909.833,"Unspecified asthma, uncomplicated (Variant #833)",Respiratory,Moderate
834,C34.90.834,Malignant neoplasm of unspecified part of bronchus or lung (Variant #834),Oncology,Critical
835,R07.9.835,"Chest pain, unspecified (Variant #835)",Cardiovascular,Severe
836,J18.9.836,"Pneumonia, unspecified organism (Variant #836)",Respiratory,Severe
837,J18.9.837,"Pneumonia, unspecified organism (Variant #837)",Respiratory,Severe
838,I10.838,Essential (primary) hypertension (Variant #838),Cardiovascular,Mild
839,I10.839,Essential (primary) hypertension (Variant #839),Cardiovascular,Mild
