diagnosis_id,icd10_code,icd10_description,category,severity_level
509,E11.9.509,Type 2 diabetes mellitus without complications (Variant #509),Endocrine,Moderate
510,F41.1.510,Generalized anxiety disorder (Variant #510),Mental Health,Moderate
511,I25.10.511,Atherosclerotic heart disease of native coronary artery (Variant #511),Cardiovascular,Severe
512,M17.11.512,"Unspecified primary osteoarthritis, right knee (Variant #512)",Musculoskeletal,Moderate
513,I25.10.513,Atherosclerotic heart disease of native coronary artery (Variant #513),Cardiovascular,Severe
514,G40.909.514,"Epilepsy, unspecified, not intractable (Variant #514)",Neurology,Severe
515,F41.1.515,Generalized anxiety disorder (Variant #515),Mental Health,Moderate
516,J06.9.516,"Acute upper respiratory infection, unspecified (Variant #516)",Respiratory,Mild
517,R07.9.517,"Chest pain, unspecified (Variant #517)",Cardiovascular,Severe
518,J18.9.518,"Pneumonia, unspecified organism (Variant #518)",Respiratory,Severe
519,M54.5.519,"Low back pain, unspecified (Variant #519)",Musculoskeletal,Mild
520,M54.5.520,"Low back pain, unspecified (Variant #520)",Musculoskeletal,Mild
521,E11.9.521,Type 2 diabetes mellitus without complications (Variant #521),Endocrine,Moderate
522,R07.9.522,"Chest pain, unspecified (Variant #522)",Cardiovascular,Severe
523,E78.5.523,"Hyperlipidemia, unspecified (Variant #523)",Endocrine,Mild
524,I10.524,Essential (primary) hypertension (Variant #524),Cardiovascular,Mild
525,E11.9.525,Type 2 diabetes mellitus without complications (Variant #525),Endocrine,Moderate
526,R07.9.526,"Chest pain, unspecified (Variant #526)",Cardiovascular,Severe
527,I10.527,Essential (primary) hypertension (Variant #527),Cardiovascular,Mild
528,I25.10.528,Atherosclerotic heart disease of native coronary artery (Variant #528),Cardiovascular,Severe
529,J06.9.529,"Acute upper respiratory infection, unspecified (Variant #529)",Respiratory,Mild
530,J45.909.530,"Unspecified asthma, uncomplicated (Variant #530)",Respiratory,Moderate
531,N39.0.531,"Urinary tract infection, site not specified (Variant #531)",Urological,Moderate
532,K21.9.532,Gastro-esophageal reflux disease without esophagitis (Variant #532),Gastrointestinal,Mild
533,C34.90.533,Malignant neoplasm of unspecified part of bronchus or lung (Variant #533),Oncology,Critical
534,G40.909.534,"Epilepsy, unspecified, not intractable (Variant #534)",Neurology,Severe
535,E78.5.535,"Hyperlipidemia, unspecified (Variant #535)",Endocrine,Mild
536,E11.9.536,Type 2 diabetes mellitus without complications (Variant #536),Endocrine,Moderate
537,C34.90.537,Malignant neoplasm of unspecified part of bronchus or lung (Variant #537),Oncology,Critical
538,F41.1.538,Generalized anxiety disorder (Variant #538),Mental Health,Moderate
539,G40.909.539,"Epilepsy, unspecified, not intractable (Variant #539)",Neurology,Severe
540,N39.0.540,"Urinary tract infection, site not specified (Variant #540)",Urological,Moderate
541,M17.11.541,"Unspecified primary osteoarthritis, right knee (Variant #541)",Musculoskeletal,Moderate
542,N39.0.542,"Urinary tract infection, site not specified (Variant #542)",Urological,Moderate
543,J06.9.543,"Acute upper respiratory infection, unspecified (Variant #543)",Respiratory,Mild
544,J06.9.544,"Acute upper respiratory infection, unspecified (Variant #544)",Respiratory,Mild
545,C34.90.545,Malignant neoplasm of unspecified part of bronchus or lung (Variant #545),Oncology,Critical
546,J06.9.546,"Acute upper respiratory infection, unspecified (Variant #546)",Respiratory,Mild
547,K21.9.547,Gastro-esophageal reflux disease without esophagitis (Variant #547),Gastrointestinal,Mild
548,N39.0.548,"Urinary tract infection, site not specified (Variant #548)",Urological,Moderate
549,C34.90.549,Malignant neoplasm of unspecified part of bronchus or lung (Variant #549),Oncology,Critical
550,M54.5.550,"Low back pain, unspecified (Variant #550)",Musculoskeletal,Mild
551,R07.9.551,"Chest pain, unspecified (Variant #551)",Cardiovascular,Severe
552,E11.9.552,Type 2 diabetes mellitus without complications (Variant #552),Endocrine,Moderate
553,I25.10.553,Atherosclerotic heart disease of native coronary artery (Variant #553),Cardiovascular,Severe
554,R07.9.554,"Chest pain, unspecified (Variant #554)",Cardiovascular,Severe
555,R07.9.555,"Chest pain, unspecified (Variant #555)",Cardiovascular,Severe
556,J06.9.556,"Acute upper respiratory infection, unspecified (Variant #556)",Respiratory,Mild
557,E11.9.557,Type 2 diabetes mellitus without complications (Variant #557),Endocrine,Moderate
558,G40.909.558,"Epilepsy, unspecified, not intractable (Variant #558)",Neurology,Severe
559,R07.9.559,"Chest pain, unspecified (Variant #559)",Cardiovascular,Severe
560,C34.90.560,Malignant neoplasm of unspecified part of bronchus or lung (Variant #560),Oncology,Critical
561,I25.10.561,Atherosclerotic heart disease of native coronary artery (Variant #561),Cardiovascular,Severe
562,R07.9.562,"Chest pain, unspecified (Variant #562)",Cardiovascular,Severe
563,I25.10.563,Atherosclerotic heart disease of native coronary artery (Variant #563),Cardiovascular,Severe
564,J06.9.564,"Acute upper respiratory infection, unspecified (Variant #564)",Respiratory,Mild
565,J18.9.565,"Pneumonia, unspecified organism (Variant #565)",Respiratory,Severe
566,E78.5.566,"Hyperlipidemia, unspecified (Variant #566)",Endocrine,Mild
567,C34.90.567,Malignant neoplasm of unspecified part of bronchus or lung (Variant #567),Oncology,Critical
568,E78.5.568,"Hyperlipidemia, unspecified (Variant #568)",Endocrine,Mild
569,J06.9.569,"Acute upper respiratory infection, unspecified (Variant #569)",Respiratory,Mild
570,F41.1.570,Generalized anxiety disorder (Variant #570),Mental Health,Moderate
571,F41.1.571,Generalized anxiety disorder (Variant #571),Mental Health,Moderate
572,G40.909.572,"Epilepsy, unspecified, not intractable (Variant #572)",Neurology,Severe
573,M54.5.573,"Low back pain, unspecified (Variant #573)",Musculoskeletal,Mild
574,J06.9.574,"Acute upper respiratory infection, unspecified (Variant #574)",Respiratory,Mild
575,M17.11.575,"Unspecified primary osteoarthritis, right knee (Variant #575)",Musculoskeletal,Moderate
576,M54.5.576,"Low back pain, unspecified (Variant #576)",Musculoskeletal,Mild
577,C34.90.577,Malignant neoplasm of unspecified part of bronchus or lung (Variant #577),Oncology,Critical
578,I10.578,Essential (primary) hypertension (Variant #578),Cardiovascular,Mild
579,J45.909.579,"Unspecified asthma, uncomplicated (Variant #579)",Respiratory,Moderate
580,G40.909.580,"Epilepsy, unspecified, not intractable (Variant #580)",Neurology,Severe
581,C34.90.581,Malignant neoplasm of unspecified part of bronchus or lung (Variant #581),Oncology,Critical
582,I10.582,Essential (primary) hypertension (Variant #582),Cardiovascular,Mild
583,I10.583,Essential (primary) hypertension (Variant #583),Cardiovascular,Mild
584,M54.5.584,"Low back pain, unspecified (Variant #584)",Musculoskeletal,Mild
585,N39.0.585,"Urinary tract infection, site not specified (Variant #585)",Urological,Moderate
586,G40.909.586,"Epilepsy, unspecified, not intractable (Variant #586)",Neurology,Severe
587,N39.0.587,"Urinary tract infection, site not specified (Variant #587)",Urological,Moderate
588,K21.9.588,Gastro-esophageal reflux disease without esophagitis (Variant #588),Gastrointestinal,Mild
589,M17.11.589,"Unspecified primary osteoarthritis, right knee (Variant #589)",Musculoskeletal,Moderate
590,E11.9.590,Type 2 diabetes mellitus without complications (Variant #590),Endocrine,Moderate
591,N39.0.591,"Urinary tract infection, site not specified (Variant #591)",Urological,Moderate
592,C34.90.592,Malignant neoplasm of unspecified part of bronchus or lung (Variant #592),Oncology,Critical
593,J18.9.593,"Pneumonia, unspecified organism (Variant #593)",Respiratory,Severe
594,K21.9.594,Gastro-esophageal reflux disease without esophagitis (Variant #594),Gastrointestinal,Mild
595,I25.10.595,Atherosclerotic heart disease of native coronary artery (Variant #595),Cardiovascular,Severe
596,J18.9.596,"Pneumonia, unspecified organism (Variant #596)",Respiratory,Severe
597,F41.1.597,Generalized anxiety disorder (Variant #597),Mental Health,Moderate
598,C34.90.598,Malignant neoplasm of unspecified part of bronchus or lung (Variant #598),Oncology,Critical
599,J45.909.599,"Unspecified asthma, uncomplicated (Variant #599)",Respiratory,Moderate
600,E78.5.600,"Hyperlipidemia, unspecified (Variant #600)",Endocrine,Mild
601,C34.90.601,Malignant neoplasm of unspecified part of bronchus or lung (Variant #601),Oncology,Critical
602,E78.5.602,"Hyperlipidemia, unspecified (Variant #602)",Endocrine,Mild
603,K21.9.603,Gastro-esophageal reflux disease without esophagitis (Variant #603),Gastrointestinal,Mild
604,M54.5.604,"Low back pain, unspecified (Variant #604)",Musculoskeletal,Mild
605,J45.909.605,"Unspecified asthma, uncomplicated (Variant #605)",Respiratory,Moderate
606,I10.606,Essential (primary) hypertension (Variant #606),Cardiovascular,Mild
607,E11.9.607,Type 2 diabetes mellitus without complications (Variant #607),Endocrine,Moderate
608,R07.9.608,"Chest pain, unspecified (Variant #608)",Cardiovascular,Severe
609,N39.0.609,"Urinary tract infection, site not specified (Variant #609)",Urological,Moderate
610,E78.5.610,"Hyperlipidemia, unspecified (Variant #610)",Endocrine,Mild
611,J06.9.611,"Acute upper respiratory infection, unspecified (Variant #611)",Respiratory,Mild
612,C34.90.612,Malignant neoplasm of unspecified part of bronchus or lung (Variant #612),Oncology,Critical
613,E11.9.613,Type 2 diabetes mellitus without complications (Variant #613),Endocrine,Moderate
614,J18.9.614,"Pneumonia, unspecified organism (Variant #614)",Respiratory,Severe
615,N39.0.615,"Urinary tract infection, site not specified (Variant #615)",Urological,Moderate
616,J06.9.616,"Acute upper respiratory infection, unspecified (Variant #616)",Respiratory,Mild
617,I10.617,Essential (primary) hypertension (Variant #617),Cardiovascular,Mild
618,M54.5.618,"Low back pain, unspecified (Variant #618)",Musculoskeletal,Mild
619,N39.0.619,"Urinary tract infection, site not specified (Variant #619)",Urological,Moderate
620,J18.9.620,"Pneumonia, unspecified organism (Variant #620)",Respiratory,Severe
621,K21.9.621,Gastro-esophageal reflux disease without esophagitis (Variant #621),Gastrointestinal,Mild
622,F41.1.622,Generalized anxiety disorder (Variant #622),Mental Health,Moderate
623,J45.909.623,"Unspecified asthma, uncomplicated (Variant #623)",Respiratory,Moderate
624,G40.909.624,"Epilepsy, unspecified, not intractable (Variant #624)",Neurology,Severe
625,M54.5.625,"Low back pain, unspecified (Variant #625)",Musculoskeletal,Mild
626,E78.5.626,"Hyperlipidemia, unspecified (Variant #626)",Endocrine,Mild
627,I10.627,Essential (primary) hypertension (Variant #627),Cardiovascular,Mild
628,G40.909.628,"Epilepsy, unspecified, not intractable (Variant #628)",Neurology,Severe
629,I10.629,Essential (primary) hypertension (Variant #629),Cardiovascular,Mild
630,M17.11.630,"Unspecified primary osteoarthritis, right knee (Variant #630)",Musculoskeletal,Moderate
631,R07.9.631,"Chest pain, unspecified (Variant #631)",Cardiovascular,Severe
632,E11.9.632,Type 2 diabetes mellitus without complications (Variant #632),Endocrine,Moderate
633,R07.9.633,"Chest pain, unspecified (Variant #633)",Cardiovascular,Severe
634,R07.9.634,"Chest pain, unspecified (Variant #634)",Cardiovascular,Severe
635,N39.0.635,"Urinary tract infection, site not specified (Variant #635)",Urological,Moderate
636,G40.909.636,"Epilepsy, unspecified, not intractable (Variant #636)",Neurology,Severe
637,F41.1.637,Generalized anxiety disorder (Variant #637),Mental Health,Moderate
638,I25.10.638,Atherosclerotic heart disease of native coronary artery (Variant #638),Cardiovascular,Severe
639,G40.909.639,"Epilepsy, unspecified, not intractable (Variant #639)",Neurology,Severe
640,I25.10.640,Atherosclerotic heart disease of native coronary artery (Variant #640),Cardiovascular,Severe
641,G40.909.641,"Epilepsy, unspecified, not intractable (Variant #641)",Neurology,Severe
642,G40.909.642,"Epilepsy, unspecified, not intractable (Variant #642)",Neurology,Severe
643,J45.909.643,"Unspecified asthma, uncomplicated (Variant #643)",Respiratory,Moderate
644,R07.9.644,"Chest pain, unspecified (Variant #644)",Cardiovascular,Severe
645,I10.645,Essential (primary) hypertension (Variant #645),Cardiovascular,Mild
646,G40.909.646,"Epilepsy, unspecified, not intractable (Variant #646)",Neurology,Severe
647,R07.9.647,"Chest pain, unspecified (Variant #647)",Cardiovascular,Severe
648,I25.10.648,Atherosclerotic heart disease of native coronary artery (Variant #648),Cardiovascular,Severe
649,I10.649,Essential (primary) hypertension (Variant #649),Cardiovascular,Mild
650,E78.5.650,"Hyperlipidemia, unspecified (Variant #650)",Endocrine,Mild
651,J18.9.651,"Pneumonia, unspecified organism (Variant #651)",Respiratory,Severe
652,E78.5.652,"Hyperlipidemia, unspecified (Variant #652)",Endocrine,Mild
653,R07.9.653,"Chest pain, unspecified (Variant #653)",Cardiovascular,Severe
654,E11.9.654,Type 2 diabetes mellitus without complications (Variant #654),Endocrine,Moderate
655,G40.909.655,"Epilepsy, unspecified, not intractable (Variant #655)",Neurology,Severe
656,F41.1.656,Generalized anxiety disorder (Variant #656),Mental Health,Moderate
657,J18.9.657,"Pneumonia, unspecified organism (Variant #657)",Respiratory,Severe
658,K21.9.658,Gastro-esophageal reflux disease without esophagitis (Variant #658),Gastrointestinal,Mild
659,R07.9.659,"Chest pain, unspecified (Variant #659)",Cardiovascular,Severe
660,E78.5.660,"Hyperlipidemia, unspecified (Variant #660)",Endocrine,Mild
661,N39.0.661,"Urinary tract infection, site not specified (Variant #661)",Urological,Moderate
662,R07.9.662,"Chest pain, unspecified (Variant #662)",Cardiovascular,Severe
663,F41.1.663,Generalized anxiety disorder (Variant #663),Mental Health,Moderate
664,E78.5.664,"Hyperlipidemia, unspecified (Variant #664)",Endocrine,Mild
665,E78.5.665,"Hyperlipidemia, unspecified (Variant #665)",Endocrine,Mild
666,M17.11.666,"Unspecified primary osteoarthritis, right knee (Variant #666)",Musculoskeletal,Moderate
667,I10.667,Essential (primary) hypertension (Variant #667),Cardiovascular,Mild
668,G40.909.668,"Epilepsy, unspecified, not intractable (Variant #668)",Neurology,Severe
669,R07.9.669,"Chest pain, unspecified (Variant #669)",Cardiovascular,Severe
670,N39.0.670,"Urinary tract infection, site not specified (Variant #670)",Urological,Moderate
671,I10.671,Essential (primary) hypertension (Variant #671),Cardiovascular,Mild
672,M17.11.672,"Unspecified primary osteoarthritis, right knee (Variant #672)",Musculoskeletal,Moderate
673,J06.9.673,"Acute upper respiratory infection, unspecified (Variant #673)",Respiratory,Mild
674,J06.9.674,"Acute upper respiratory infection, unspecified (Variant #674)",Respiratory,Mild
675,C34.90.675,Malignant neoplasm of unspecified part of bronchus or lung (Variant #675),Oncology,Critical
676,E78.5.676,"Hyperlipidemia, unspecified (Variant #676)",Endocrine,Mild
677,G40.909.677,"Epilepsy, unspecified, not intractable (Variant #677)",Neurology,Severe
678,N39.0.678,"Urinary tract infection, site not specified (Variant #678)",Urological,Moderate
679,E11.9.679,Type 2 diabetes mellitus without complications (Variant #679),Endocrine,Moderate
680,K21.9.680,Gastro-esophageal reflux disease without esophagitis (Variant #680),Gastrointestinal,Mild
681,R07.9.681,"Chest pain, unspecified (Variant #681)",Cardiovascular,Severe
682,J06.9.682,"Acute upper respiratory infection, unspecified (Variant #682)",Respiratory,Mild
683,N39.0.683,"Urinary tract infection, site not specified (Variant #683)",Urological,Moderate
684,J06.9.684,"Acute upper respiratory infection, unspecified (Variant #684)",Respiratory,Mild
685,F41.1.685,Generalized anxiety disorder (Variant #685),Mental Health,Moderate
686,J18.9.686,"Pneumonia, unspecified organism (Variant #686)",Respiratory,Severe
687,E78.5.687,"Hyperlipidemia, unspecified (Variant #687)",Endocrine,Mild
688,J18.9.688,"Pneumonia, unspecified organism (Variant #688)",Respiratory,Severe
689,J45.909.689,"Unspecified asthma, uncomplicated (Variant #689)",Respiratory,Moderate
690,I25.10.690,Atherosclerotic heart disease of native coronary artery (Variant #690),Cardiovascular,Severe
691,R07.9.691,"Chest pain, unspecified (Variant #691)",Cardiovascular,Severe
692,N39.0.692,"Urinary tract infection, site not specified (Variant #692)",Urological,Moderate
693,M17.11.693,"Unspecified primary osteoarthritis, right knee (Variant #693)",Musculoskeletal,Moderate
694,C34.90.694,Malignant neoplasm of unspecified part of bronchus or lung (Variant #694),Oncology,Critical
695,M17.11.695,"Unspecified primary osteoarthritis, right knee (Variant #695)",Musculoskeletal,Moderate
696,J45.909.696,"Unspecified asthma, uncomplicated (Variant #696)",Respiratory,Moderate
697,K21.9.697,Gastro-esophageal reflux disease without esophagitis (Variant #697),Gastrointestinal,Mild
698,I25.10.698,Atherosclerotic heart disease of native coronary artery (Variant #698),Cardiovascular,Severe
699,C34.90.699,Malignant neoplasm of unspecified part of bronchus or lung (Variant #699),Oncology,Critical
700,I25.10.700,Atherosclerotic heart disease of native coronary artery (Variant #700),Cardiovascular,Severe
701,M17.11.701,"Unspecified primary osteoarthritis, right knee (Variant #701)",Musculoskeletal,Moderate
702,E78.5.702,"Hyperlipidemia, unspecified (Variant #702)",Endocrine,Mild
703,R07.9.703,"Chest pain, unspecified (Variant #703)",Cardiovascular,Severe
704,N39.0.704,"Urinary tract infection, site not specified (Variant #704)",Urological,Moderate
705,E11.9.705,Type 2 diabetes mellitus without complications (Variant #705),Endocrine,Moderate
706,J18.9.706,"Pneumonia, unspecified organism (Variant #706)",Respiratory,Severe
707,I25.10.707,Atherosclerotic heart disease of native coronary artery (Variant #707),Cardiovascular,Severe
708,F41.1.708,Generalized anxiety disorder (Variant #708),Mental Health,Moderate
709,I10.709,Essential (primary) hypertension (Variant #709),Cardiovascular,Mild
710,M17.11.710,"Unspecified primary osteoarthritis, right knee (Variant #710)",Musculoskeletal,Moderate
711,J45.909.711,"Unspecified asthma, uncomplicated (Variant #711)",Respiratory,Moderate
712,J45.909.712,"Unspecified asthma, uncomplicated (Variant #712)",Respiratory,Moderate
713,I10.713,Essential (primary) hypertension (Variant #713),Cardiovascular,Mild
714,J18.9.714,"Pneumonia, unspecified organism (Variant #714)",Respiratory,Severe
715,M17.11.715,"Unspecified primary osteoarthritis, right knee (Variant #715)",Musculoskeletal,Moderate
716,I25.10.716,Atherosclerotic heart disease of native coronary artery (Variant #716),Cardiovascular,Severe
717,J18.9.717,"Pneumonia, unspecified organism (Variant #717)",Respiratory,Severe
718,F41.1.718,Generalized anxiety disorder (Variant #718),Mental Health,Moderate
719,J18.9.719,"Pneumonia, unspecified organism (Variant #719)",Respiratory,Severe
720,G40.909.720,"Epilepsy, unspecified, not intractable (Variant #720)",Neurology,Severe
721,M17.11.721,"Unspecified primary osteoarthritis, right knee (Variant #721)",Musculoskeletal,Moderate
722,C34.90.722,Malignant neoplasm of unspecified part of bronchus or lung (Variant #722),Oncology,Critical
723,G40.909.723,"Epilepsy, unspecified, not intractable (Variant #723)",Neurology,Severe
724,E11.9.724,Type 2 diabetes mellitus without complications (Variant #724),Endocrine,Moderate
725,G40.909.725,"Epilepsy, unspecified, not intractable (Variant #725)",Neurology,Severe
726,K21.9.726,Gastro-esophageal reflux disease without esophagitis (Variant #726),Gastrointestinal,Mild
727,E78.5.727,"Hyperlipidemia, unspecified (Variant #727)",Endocrine,Mild
728,E78.5.728,"Hyperlipidemia, unspecified (Variant #728)",Endocrine,Mild
729,M17.11.729,"Unspecified primary osteoarthritis, right knee (Variant #729)",Musculoskeletal,Moderate
730,G40.909.730,"Epilepsy, unspecified, not intractable (Variant #730)",Neurology,Severe
731,E78.5.731,"Hyperlipidemia, unspecified (Variant #731)",Endocrine,Mild
732,J18.9.732,"Pneumonia, unspecified organism (Variant #732)",Respiratory,Severe
733,J06.9.733,"Acute upper respiratory infection, unspecified (Variant #733)",Respiratory,Mild
734,J18.9.734,"Pneumonia, unspecified organism (Variant #734)",Respiratory,Severe
735,E78.5.735,"Hyperlipidemia, unspecified (Variant #735)",Endocrine,Mild
736,E11.9.736,Type 2 diabetes mellitus without complications (Variant #736),Endocrine,Moderate
737,J45.909.737,"Unspecified asthma, uncomplicated (Variant #737)",Respiratory,Moderate
738,J18.9.738,"Pneumonia, unspecified organism (Variant #738)",Respiratory,Severe
739,N39.0.739,"Urinary tract infection, site not specified (Variant #739)",Urological,Moderate
740,M17.11.740,"Unspecified primary osteoarthritis, right knee (Variant #740)",Musculoskeletal,Moderate
741,E78.5.741,"Hyperlipidemia, unspecified (Variant #741)",Endocrine,Mild
742,I10.742,Essential (primary) hypertension (Variant #742),Cardiovascular,Mild
743,J45.909.743,"Unspecified asthma, uncomplicated (Variant #743)",Respiratory,Moderate
744,J18.9.744,"Pneumonia, unspecified organism (Variant #744)",Respiratory,Severe
745,I10.745,Essential (primary) hypertension (Variant #745),Cardiovascular,Mild
746,C34.90.746,Malignant neoplasm of unspecified part of bronchus or lung (Variant #746),Oncology,Critical
747,J06.9.747,"Acute upper respiratory infection, unspecified (Variant #747)",Respiratory,Mild
748,J06.9.748,"Acute upper respiratory infection, unspecified (Variant #748)",Respiratory,Mild
749,J06.9.749,"Acute upper respiratory infection, unspecified (Variant #749)",Respiratory,Mild
750,I25.10.750,Atherosclerotic heart disease of native coronary artery (Variant #750),Cardiovascular,Severe
751,E78.5.751,"Hyperlipidemia, unspecified (Variant #751)",Endocrine,Mild
752,E11.9.752,Type 2 diabetes mellitus without complications (Variant #752),Endocrine,Moderate
753,M17.11.753,"Unspecified primary osteoarthritis, right knee (Variant #753)",Musculoskeletal,Moderate
754,I25.10.754,Atherosclerotic heart disease of native coronary artery (Variant #754),Cardiovascular,Severe
755,C34.90.755,Malignant neoplasm of unspecified part of bronchus or lung (Variant #755),Oncology,Critical
756,R07.9.756,"Chest pain, unspecified (Variant #756)",Cardiovascular,Severe
757,J18.9.757,"Pneumonia, unspecified organism (Variant #757)",Respiratory,Severe
758,M17.11.758,"Unspecified primary osteoarthritis, right knee (Variant #758)",Musculoskeletal,Moderate
759,J06.9.759,"Acute upper respiratory infection, unspecified (Variant #759)",Respiratory,Mild
760,E11.9.760,Type 2 diabetes mellitus without complications (Variant #760),Endocrine,Moderate
761,G40.909.761,"Epilepsy, unspecified, not intractable (Variant #761)",Neurology,Severe
762,N39.0.762,"Urinary tract infection, site not specified (Variant #762)",Urological,Moderate
763,E11.9.763,Type 2 diabetes mellitus without complications (Variant #763),Endocrine,Moderate
764,N39.0.764,"Urinary tract infection, site not specified (Variant #764)",Urological,Moderate
765,I25.10.765,Atherosclerotic heart disease of native coronary artery (Variant #765),Cardiovascular,Severe
766,J06.9.766,"Acute upper respiratory infection, unspecified (Variant #766)",Respiratory,Mild
767,N39.0.767,"Urinary tract infection, site not specified (Variant #767)",Urological,Moderate
768,F41.1.768,Generalized anxiety disorder (Variant #768),Mental Health,Moderate
769,J06.9.769,"Acute upper respiratory infection, unspecified (Variant #769)",Respiratory,Mild
770,C34.90.770,Malignant neoplasm of unspecified part of bronchus or lung (Variant #770),Oncology,Critical
771,R07.9.771,"Chest pain, unspecified (Variant #771)",Cardiovascular,Severe
772,J18.9.772,"Pneumonia, unspecified organism (Variant #772)",Respiratory,Severe
773,J45.909.773,"Unspecified asthma, uncomplicated (Variant #773)",Respiratory,Moderate
774,J06.9.774,"Acute upper respiratory infection, unspecified (Variant #774)",Respiratory,Mild
775,I10.775,Essential (primary) hypertension (Variant #775),Cardiovascular,Mild
776,G40.909.776,"Epilepsy, unspecified, not intractable (Variant #776)",Neurology,Severe
777,J06.9.777,"Acute upper respiratory infection, unspecified (Variant #777)",Respiratory,Mild
778,R07.9.778,"Chest pain, unspecified (Variant #778)",Cardiovascular,Severe
779,R07.9.779,"Chest pain, unspecified (Variant #779)",Cardiovascular,Severe
780,N39.0.780,"Urinary tract infection, site not specified (Variant #780)",Urological,Moderate
781,J06.9.781,"Acute upper respiratory infection, unspecified (Variant #781)",Respiratory,Mild
782,K21.9.782,Gastro-esophageal reflux disease without esophagitis (Variant #782),Gastrointestinal,Mild
783,J45.909.783,"Unspecified asthma, uncomplicated (Variant #783)",Respiratory,Moderate
784,J18.9.784,"Pneumonia, unspecified organism (Variant #784)",Respiratory,Severe
785,E78.5.785,"Hyperlipidemia, unspecified (Variant #785)",Endocrine,Mild
786,I25.10.786,Atherosclerotic heart disease of native coronary artery (Variant #786),Cardiovascular,Severe
787,N39.0.787,"Urinary tract infection, site not specified (Variant #787)",Urological,Moderate
788,M17.11.788,"Unspecified primary osteoarthritis, right knee (Variant #788)",Musculoskeletal,Moderate
789,E11.9.789,Type 2 diabetes mellitus without complications (Variant #789),Endocrine,Moderate
790,J45.909.790,"Unspecified asthma, uncomplicated (Variant #790)",Respiratory,Moderate
791,J45.909.791,"Unspecified asthma, uncomplicated (Variant #791)",Respiratory,Moderate
792,M17.11.792,"Unspecified primary osteoarthritis, right knee (Variant #792)",Musculoskeletal,Moderate
793,I25.10.793,Atherosclerotic heart disease of native coronary artery (Variant #793),Cardiovascular,Severe
794,K21.9.794,Gastro-esophageal reflux disease without esophagitis (Variant #794),Gastrointestinal,Mild
795,C34.90.795,Malignant neoplasm of unspecified part of bronchus or lung (Variant #795),Oncology,Critical
796,M54.5.796,"Low back pain, unspecified (Variant #796)",Musculoskeletal,Mild
797,N39.0.797,"Urinary tract infection, site not specified (Variant #797)",Urological,Moderate
798,G40.909.798,"Epilepsy, unspecified, not intractable (Variant #798)",Neurology,Severe
799,N39.0.799,"Urinary tract infection, site not specified (Variant #799)",Urological,Moderate
800,I25.10.800,Atherosclerotic heart disease of native coronary artery (Variant #800),Cardiovascular,Severe
801,F41.1.801,Generalized anxiety disorder (Variant #801),Mental Health,Moderate
802,M54.5.802,"Low back pain, unspecified (Variant #802)",Musculoskeletal,Mild
803,J06.9.803,"Acute upper respiratory infection, unspecified (Variant #803)",Respiratory,Mild
804,J45.909.804,"Unspecified asthma, uncomplicated (Variant #804)",Respiratory,Moderate
805,J18.9.805,"Pneumonia, unspecified organism (Variant #805)",Respiratory,Severe
806,N39.0.806,"Urinary tract infection, site not specified (Variant #806)",Urological,Moderate
807,I10.807,Essential (primary) hypertension (Variant #807),Cardiovascular,Mild
808,I10.808,Essential (primary) hypertension (Variant #808),Cardiovascular,Mild
809,I10.809,Essential (primary) hypertension (Variant #809),Cardiovascular,Mild
810,J45.909.810,"Unspecified asthma, uncomplicated (Variant #810)",Respiratory,Moderate
811,N39.0.811,"Urinary tract infection, site not specified (Variant #811)",Urological,Moderate
812,M54.5.812,"Low back pain, unspecified (Variant #812)",Musculoskeletal,Mild
813,J18.9.813,"Pneumonia, unspecified organism (Variant #813)",Respiratory,Severe
814,N39.0.814,"Urinary tract infection, site not specified (Variant #814)",Urological,Moderate
815,I25.10.815,Atherosclerotic heart disease of native coronary artery (Variant #815),Cardiovascular,Severe
816,F41.1.816,Generalized anxiety disorder (Variant #816),Mental Health,Moderate
817,C34.90.817,Malignant neoplasm of unspecified part of bronchus or lung (Variant #817),Oncology,Critical
818,I10.818,Essential (primary) hypertension (Variant #818),Cardiovascular,Mild
819,M54.5.819,"Low back pain, unspecified (Variant #819)",Musculoskeletal,Mild
820,E11.9.820,Type 2 diabetes mellitus without complications (Variant #820),Endocrine,Moderate
821,F41.1.821,Generalized anxiety disorder (Variant #821),Mental Health,Moderate
822,I25.10.822,Atherosclerotic heart disease of native coronary artery (Variant #822),Cardiovascular,Severe
823,I25.10.823,Atherosclerotic heart disease of native coronary artery (Variant #823),Cardiovascular,Severe
824,G40.909.824,"Epilepsy, unspecified, not intractable (Variant #824)",Neurology,Severe
825,M54.5.825,"Low back pain, unspecified (Variant #825)",Musculoskeletal,Mild
826,E78.5.826,"Hyperlipidemia, unspecified (Variant #826)",Endocrine,Mild
827,I25.10.827,Atherosclerotic heart disease of native coronary artery (Variant #827),Cardiovascular,Severe
828,G40.909.828,"Epilepsy, unspecified, not intractable (Variant #828)",Neurology,Severe
829,F41.1.829,Generalized anxiety disorder (Variant #829),Mental Health,Moderate
830,R07.9.830,"Chest pain, unspecified (Variant #830)",Cardiovascular,Severe
831,C34.90.831,Malignant neoplasm of unspecified part of bronchus or lung (Variant #831),Oncology,Critical
832,E78.5.832,"Hyperlipidemia, unspecified (Variant #832)",Endocrine,Mild
833,J45.909.833,"Unspecified asthma, uncomplicated (Variant #833)",Respiratory,Moderate
